City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Feels Like,Wind Speed
Puerto Ayora,43,EC,1598655466,83,-0.74,-90.35,18.98,18.98,17.73,4.64
Hilo,40,US,1598655284,51,19.73,-155.09,30.0,25.0,27.25,3.6
Goderich,86,CA,1598655467,74,43.75,-81.72,23.89,22.78,24.62,2.41
Paamiut,100,GL,1598655215,89,61.99,-49.67,8.66,8.66,5.75,3.14
Dikson,80,RU,1598655467,81,73.51,80.55,9.14,9.14,6.26,2.82
Karema,9,TZ,1598655467,62,-6.82,30.44,22.85,22.85,23.6,1.33
Rikitea,0,PF,1598655467,66,-23.12,-134.97,20.6,20.6,20.04,2.61
Bredasdorp,2,ZA,1598655468,81,-34.53,20.04,9.0,9.0,5.19,4.1
Port Augusta,0,AU,1598655468,66,-32.5,137.77,15.56,12.0,12.43,2.6
Albany,66,US,1598655310,76,42.6,-73.97,24.44,20.56,24.05,1.4
Mabaruma,43,GY,1598655468,86,8.2,-59.78,25.21,25.21,29.26,1.47
Katsuura,20,JP,1598655468,66,35.13,140.3,31.0,30.56,32.67,5.1
Ribeira Grande,14,PT,1598655346,93,38.52,-28.7,23.61,23.61,25.12,4.87
Khilok,100,RU,1598655468,93,51.37,110.47,11.69,11.69,11.11,1.13
Bogorodskoye,93,RU,1598655468,98,56.55,37.88,11.32,11.32,9.54,3.01
Ulladulla,0,AU,1598655469,58,-35.35,150.47,12.0,3.33,1.45,5.1
Mandurah,35,AU,1598655469,67,-32.55,115.7,13.33,13.33,11.45,1.79
New Norfolk,100,AU,1598655299,63,-42.78,147.06,12.78,10.0,9.26,1.79
Arroyos y Esteros,20,PY,1598655469,31,-25.07,-57.1,32.0,32.0,30.68,3.1
Bluff,90,NZ,1598655469,72,-46.6,168.33,7.22,7.22,2.19,4.92
Rabo de Peixe,20,PT,1598655469,83,37.8,-25.58,24.0,24.0,25.28,4.1
Laguna,1,US,1598655469,29,38.42,-121.42,36.11,33.0,34.5,2.1
Ushuaia,75,AR,1598655470,94,-54.8,-68.3,1.0,1.0,-6.7,8.2
Umba,52,RU,1598655470,78,66.69,34.34,9.34,9.34,7.05,1.87
Severo-Kuril'sk,55,RU,1598655470,77,50.68,156.12,11.55,11.55,8.21,3.99
Carnarvon,2,AU,1598655320,100,-24.87,113.63,14.0,14.0,12.74,3.6
Mossamedes,92,AO,1598655470,81,-15.2,12.15,15.23,15.23,13.75,2.99
Qaqortoq,100,GL,1598655470,69,60.72,-46.03,16.0,16.0,6.75,13.4
Sawtell,0,AU,1598655471,59,-30.38,153.1,16.0,13.89,12.46,3.1
Colomi,40,BO,1598655471,27,-17.35,-65.87,25.0,25.0,21.99,2.6
Huarmey,8,PE,1598655339,78,-10.07,-78.15,17.75,17.75,15.64,4.75
Jalu,0,LY,1598655471,60,29.03,21.55,26.03,26.03,25.25,4.89
Cidreira,73,BR,1598655471,77,-30.18,-50.21,18.43,18.43,17.16,3.78
Lorengau,100,PG,1598655311,77,-2.02,147.27,28.63,28.63,30.1,6.37
Ol'ga,100,RU,1598655471,93,43.74,135.29,17.55,17.55,16.07,5.18
Iqaluit,75,CA,1598655472,57,63.75,-68.51,11.0,10.56,6.9,3.28
Cabo San Lucas,90,MX,1598655472,88,22.89,-109.91,26.67,25.0,30.41,1.5
Omsukchan,100,RU,1598655472,83,62.53,155.8,4.87,4.87,0.45,3.98
Avarua,26,CK,1598655472,69,-21.21,-159.78,25.0,25.0,24.62,5.1
Smithers,40,CA,1598655472,47,54.78,-127.17,15.0,15.0,12.94,1.0
Deputatsky,88,RU,1598655411,78,69.3,139.9,4.49,4.49,1.52,1.62
Barrow,90,US,1598655472,81,71.29,-156.79,4.0,4.0,-2.17,6.2
San Patricio,90,MX,1598655435,70,19.22,-104.7,30.0,30.0,32.9,4.1
Port Hardy,75,CA,1598655473,72,50.7,-127.42,16.0,16.0,12.32,5.7
Tiznit Province,0,MA,1598655473,49,29.58,-9.5,24.17,24.17,23.35,2.4
Shelburne,20,CA,1598655473,68,44.08,-80.2,21.0,20.0,20.85,1.5
Tabriz,0,IR,1598655473,38,38.08,46.29,23.0,23.0,21.04,2.1
Toulouse,100,FR,1598655422,77,43.6,1.44,17.0,15.0,13.48,5.1
Thompson,75,CA,1598655473,77,55.74,-97.86,16.0,16.0,14.09,3.6
Pacifica,20,US,1598655474,63,37.61,-122.49,23.89,14.0,13.27,7.2
Bambous Virieux,75,MU,1598655287,73,-20.34,57.76,22.0,20.56,19.83,5.1
Atambua,33,ID,1598655474,64,-9.11,124.89,22.32,22.32,22.72,1.82
Sambava,50,MG,1598655249,82,-14.27,50.17,20.31,20.31,19.42,4.75
Port Alfred,0,ZA,1598655246,69,-33.59,26.89,14.01,14.01,10.67,4.25
Los Llanos de Aridane,7,ES,1598655474,83,28.66,-17.92,24.44,24.0,23.51,7.2
Clyde River,20,CA,1598655474,66,70.47,-68.59,10.0,10.0,5.1,5.1
Dickinson,14,US,1598655474,78,29.46,-95.05,33.33,31.67,39.76,1.79
George Town,20,MY,1598655475,88,5.41,100.34,27.0,25.0,30.73,1.0
Jumla,100,NP,1598655475,72,29.27,82.18,16.78,16.78,17.2,0.15
Provideniya,75,RU,1598655475,81,64.38,-173.3,10.0,10.0,7.88,2.0
Marsá Maţrūḩ,0,EG,1598655475,65,31.35,27.25,26.0,26.0,27.37,2.6
Port Hedland,15,AU,1598655475,59,-20.32,118.57,17.0,17.0,14.94,2.6
Roald,1,NO,1598655335,76,62.58,6.13,13.0,11.67,6.63,7.7
Hong Kong,71,HK,1598655363,78,22.29,114.16,27.78,23.33,30.3,1.57
Yambio,71,SS,1598655476,94,4.57,28.4,19.79,19.79,22.18,1.07
Touros,9,BR,1598655185,83,-5.2,-35.46,25.0,25.0,27.83,2.6
Lagoa,0,PT,1598655476,94,39.05,-27.98,23.42,23.42,23.58,6.79
Vaini,75,TO,1598655476,74,-21.2,-175.2,26.0,26.0,26.96,4.6
Pangnirtung,20,CA,1598655216,81,66.15,-65.71,9.0,9.0,6.24,2.6
Camacha,40,PT,1598655477,83,33.08,-16.33,23.0,23.0,22.33,6.2
Narsaq,100,GL,1598655477,57,60.92,-46.05,16.0,16.0,6.03,13.4
Tasiilaq,100,GL,1598655477,81,65.61,-37.64,6.0,6.0,3.82,0.96
Tiksi,44,RU,1598655323,80,71.69,128.87,6.77,6.77,1.65,5.31
Gobabis,0,NA,1598655307,34,-22.45,18.97,11.65,11.65,5.85,4.76
Senanga,0,ZM,1598655477,52,-16.12,23.27,19.58,19.58,18.25,1.76
Nikolskoye,99,RU,1598655477,87,59.7,30.79,13.33,12.22,12.39,1.0
Saint George,1,US,1598655416,10,37.1,-113.58,39.0,37.78,31.32,7.7
Turukhansk,85,RU,1598655249,89,65.82,87.98,11.4,11.4,10.62,1.04
Ostrovnoy,69,RU,1598655478,64,68.05,39.51,9.33,9.33,3.97,5.48
Chui,41,UY,1598655333,98,-33.7,-53.46,13.53,13.53,12.98,2.22
Buala,52,SB,1598655478,72,-8.14,159.59,28.8,28.8,32.79,1.98
Sumbe,98,AO,1598655478,83,-11.21,13.84,20.6,20.6,21.78,2.07
Acapulco de Juárez,40,MX,1598655463,74,16.86,-99.89,30.0,30.0,32.76,5.1
Ulaanbaatar,20,MN,1598655478,93,47.91,106.88,7.0,7.0,5.37,1.0
Kaitangata,63,NZ,1598655479,50,-46.28,169.85,12.78,12.78,6.83,6.26
Hobart,75,AU,1598655365,62,-42.88,147.33,12.78,12.0,6.61,7.2
Gijang,75,KR,1598655479,88,35.24,129.21,26.0,26.0,30.68,1.5
East London,46,ZA,1598655479,67,-33.02,27.91,15.73,15.73,14.69,1.4
Tautira,20,PF,1598655479,51,-17.73,-149.15,29.0,29.0,30.25,2.1
Banda Aceh,100,ID,1598655479,76,5.56,95.32,26.64,26.64,30.05,1.88
Port-Gentil,90,GA,1598655480,88,-0.72,8.78,25.0,25.0,25.73,6.34
Vigrestad,58,NO,1598655254,89,58.57,5.7,13.89,12.78,10.74,4.4
Alice Springs,0,AU,1598655480,27,-23.7,133.88,10.0,10.0,3.53,5.09
Longyearbyen,90,SJ,1598655480,92,78.22,15.64,1.0,1.0,-2.06,1.5
Palafrugell,90,ES,1598655480,50,41.92,3.16,19.44,18.33,13.21,7.51
Bilibino,100,RU,1598655480,59,68.05,166.44,8.71,8.71,5.67,1.76
Resende,0,BR,1598655481,76,-22.47,-44.45,18.47,18.47,19.64,0.21
Castro,0,BR,1598655481,79,-24.79,-50.01,15.3,15.3,15.12,1.0
Tonantins,78,BR,1598655481,76,-2.87,-67.8,26.92,26.92,31.02,1.1
Chupaca,37,PE,1598655481,40,-12.07,-75.28,15.24,15.24,11.52,2.86
Ilulissat,87,GL,1598655481,45,69.22,-51.1,8.0,8.0,1.25,6.2
Olafsvik,100,IS,1598655428,85,64.89,-23.71,11.03,11.03,6.03,6.69
Kavieng,98,PG,1598655457,78,-2.57,150.8,28.19,28.19,29.96,5.76
Merauke,100,ID,1598655465,78,-8.47,140.33,25.84,25.84,25.42,7.09
Talnakh,49,RU,1598655482,87,69.49,88.4,9.0,9.0,6.89,2.0
San Andrés,75,CO,1598655314,94,12.58,-81.7,26.0,26.0,30.93,2.1
Bocanda,41,CI,1598655482,95,7.06,-4.5,21.82,21.82,23.92,2.96
São João da Barra,1,BR,1598655482,86,-21.64,-41.05,22.45,22.45,21.79,6.22
Grindavik,90,IS,1598655482,100,63.84,-22.43,9.0,9.0,4.79,5.7
Cherskiy,85,RU,1598655483,80,68.75,161.3,7.59,7.59,4.37,2.82
Cape Town,75,ZA,1598655483,81,-33.93,18.42,11.11,9.44,8.05,2.1
Constitución,100,CL,1598655483,91,-35.33,-72.42,10.1,10.1,5.7,5.87
College,75,US,1598655483,76,64.86,-147.8,15.0,11.67,11.84,2.1
Pacific Grove,20,US,1598655483,56,36.62,-121.92,22.22,19.0,17.38,5.7
Podgorica,0,ME,1598655483,60,42.44,19.26,24.0,24.0,23.72,3.1
Zeya,74,RU,1598655484,67,53.75,127.27,11.82,11.82,9.17,2.44
Charters Towers,1,AU,1598655484,49,-20.1,146.27,18.86,18.86,12.15,8.89
Zambezi,71,ZM,1598655484,51,-13.54,23.1,20.98,20.98,20.21,1.34
Suntar,100,RU,1598655392,58,62.14,117.63,12.19,12.19,8.68,3.18
Gorom-Gorom,55,BF,1598655484,59,14.44,-0.24,29.1,29.1,28.66,6.09
Halifax,14,CA,1598655484,47,44.65,-63.57,20.56,18.89,18.59,0.89
Pevek,67,RU,1598655484,86,69.7,170.31,4.88,4.88,2.67,0.95
Ancud,1,CL,1598655485,67,-41.87,-73.82,6.67,6.0,0.84,5.1
Faanui,9,PF,1598655485,80,-16.48,-151.75,24.54,24.54,22.32,9.05
Quatre Cocos,75,MU,1598655485,73,-20.21,57.76,22.0,20.56,19.73,5.1
Hualmay,18,PE,1598655485,80,-11.1,-77.61,17.26,17.26,14.78,5.24
Payakumbuh,95,ID,1598655485,89,-0.22,100.63,20.93,20.93,23.62,0.81
Jamestown,75,US,1598655396,83,42.1,-79.24,23.89,23.0,25.43,2.6
Ponta Delgada,20,PT,1598655485,83,37.73,-25.67,24.0,24.0,25.28,4.1
Kahului,40,US,1598655216,36,20.89,-156.47,34.0,26.67,23.21,10.8
Safidon,0,IN,1598655486,77,29.42,76.67,26.66,26.66,29.55,2.81
Las Tunas,20,CU,1598655268,62,20.96,-76.95,32.0,32.0,34.47,4.6
Payson,1,US,1598655302,18,40.04,-111.73,35.56,33.0,29.53,5.93
Ponta do Sol,20,PT,1598655486,64,32.67,-17.1,24.0,19.44,17.58,7.7
Port Lincoln,0,AU,1598655486,46,-34.73,135.87,15.25,15.25,7.69,8.84
Taltal,26,CL,1598655486,66,-25.4,-70.48,14.3,14.3,12.37,2.1
Kalmunai,66,LK,1598655487,78,7.42,81.82,25.83,25.83,29.19,1.68
Torbay,75,CA,1598655487,67,47.67,-52.73,16.11,15.0,9.31,8.2
Jiamusi,100,CN,1598655487,83,46.83,130.35,15.01,15.01,11.59,5.84
Qinzhou,21,CN,1598655487,83,21.95,108.62,27.03,27.03,32.4,0.54
Gushikawa,1,JP,1598655479,94,26.35,127.87,28.0,27.78,33.03,3.6
Tagusao,59,PH,1598655487,78,9.19,117.81,27.27,27.27,31.47,1.56
Honiara,75,SB,1598655234,74,-9.43,159.95,29.0,29.0,34.05,1.0
Ginda,0,IN,1598655488,81,30.69,78.49,15.87,15.87,15.95,1.04
Pisco,20,PE,1598655488,77,-13.7,-76.22,18.0,17.22,13.75,7.2
Port Elizabeth,1,ZA,1598655488,87,-33.92,25.57,12.0,12.0,9.85,3.1
Lata,74,PT,1598655397,77,40.16,-8.33,17.22,15.56,16.94,0.89
Voh,99,NC,1598655488,75,-20.97,164.7,22.47,22.47,22.17,4.31
Spirovo,83,RU,1598655489,96,57.42,34.98,10.96,10.96,9.16,2.77
Kovernino,78,RU,1598655489,92,57.13,43.81,13.86,13.86,13.55,1.58
Miramar,1,US,1598655489,59,25.99,-80.23,32.22,30.56,34.04,3.1
Ahipara,2,NZ,1598655489,65,-35.17,173.17,16.26,16.26,13.89,3.32
Saint-Augustin,48,CA,1598655489,71,51.23,-58.65,11.89,11.89,7.07,5.82
Faya,7,SA,1598655490,88,18.39,42.45,21.0,19.0,22.3,0.68
Sisimiut,98,GL,1598655490,52,66.94,-53.67,10.05,10.05,5.16,4.28
Kirakira,100,SB,1598655490,76,-10.45,161.92,28.06,28.06,31.2,3.35
San Miguel,68,SV,1598655220,66,13.48,-88.18,33.0,33.0,38.45,2.1
Vicuña,40,CL,1598655490,66,-30.03,-70.71,13.0,13.0,9.74,3.6
Chāndūr Bāzār,100,IN,1598655490,95,21.24,77.75,22.82,22.82,23.09,6.31
São Filipe,89,CV,1598655491,81,14.9,-24.5,26.89,26.89,30.78,2.21
Aripuanã,67,BR,1598655491,51,-9.17,-60.63,29.65,29.65,31.23,1.99
Stephenville Crossing,75,CA,1598655491,67,48.5,-58.43,14.0,13.33,6.71,9.3
Yurga,0,RU,1598655491,89,55.72,84.89,10.04,10.04,8.47,1.68
Ogdensburg,1,US,1598655492,88,44.69,-75.49,21.11,19.0,21.77,1.21
Yong’an,1,CN,1598655492,70,39.7,113.69,19.73,19.73,19.75,1.82
Mgandu,41,TZ,1598655492,72,-5.95,34.13,15.07,15.07,12.63,3.57
Kushmurun,82,KZ,1598655492,55,52.45,64.63,19.83,19.83,18.3,2.45
Bud,1,US,1598655492,74,39.45,-86.18,28.89,28.0,30.99,4.1
Korla,88,CN,1598655493,56,41.76,86.15,17.34,17.34,13.17,5.46
Carutapera,92,BR,1598655493,89,-1.2,-46.02,24.69,24.69,28.24,2.23
Paciran,6,ID,1598655493,84,-6.88,112.38,24.3,24.3,26.28,3.45
Teacapan,98,MX,1598655493,83,22.55,-105.75,28.03,28.03,31.31,4.37
Dābhol,100,IN,1598655493,92,17.6,73.17,24.04,24.04,27.92,1.68
Mount Gambier,0,AU,1598655494,81,-37.83,140.77,8.0,8.0,2.52,6.2
Flin Flon,75,CA,1598655350,82,54.77,-101.86,15.0,15.0,13.78,2.6
Aykhal,75,RU,1598655494,42,66.0,111.5,9.0,9.0,3.79,4.0
Murakami,75,JP,1598655494,89,38.23,139.48,29.0,29.0,34.56,3.1
Esperance,75,AU,1598655494,81,-33.87,121.9,10.0,10.0,3.89,7.7
Kumul,70,CN,1598655494,41,42.8,93.45,18.63,18.63,12.68,6.92
Dunedin,21,NZ,1598655495,66,-45.87,170.5,10.33,10.33,7.76,1.86
Isiro,64,CD,1598655495,98,2.77,27.62,19.4,19.4,22.25,0.59
Pingshan,65,CN,1598655495,81,22.99,114.71,26.83,26.83,31.78,0.65
Atyrau,46,KZ,1598655496,34,47.12,51.88,18.0,18.0,13.51,4.0
Leningradskiy,100,RU,1598655496,93,69.38,178.42,3.1,3.1,-1.04,3.55
Vao,94,NC,1598655496,81,-22.67,167.48,20.5,20.5,16.95,8.54
Pontianak,53,ID,1598655496,95,-0.03,109.33,23.77,23.77,27.8,1.67
Codrington,0,AU,1598655496,72,-38.27,141.97,10.08,10.08,3.71,7.57
Miracema do Tocantins,2,BR,1598655496,26,-9.56,-48.4,26.82,26.82,25.49,0.5
Pyatovskiy,0,RU,1598655497,93,54.69,36.06,13.0,13.0,11.49,3.0
Tuatapere,50,NZ,1598655497,72,-46.13,167.68,7.22,7.22,2.19,4.92
Caravelas,0,BR,1598655497,83,-17.71,-39.25,21.48,21.48,23.17,1.87
Dallas,20,US,1598655377,31,32.77,-96.78,40.56,38.89,41.35,2.1
Meulaboh,98,ID,1598655497,88,4.14,96.13,24.22,24.22,27.5,2.1
San Rafael del Sur,71,NI,1598655497,84,11.85,-86.44,27.44,27.44,33.33,0.31
Pinerolo,87,IT,1598655498,89,44.88,7.35,18.89,16.67,19.75,0.45
Poum,79,NC,1598655249,81,-20.23,164.02,22.77,22.77,19.55,9.43
Rio Grande,40,BR,1598655203,100,-32.03,-52.1,17.0,16.67,17.32,2.6
Dargaville,3,NZ,1598655498,61,-35.93,173.88,16.6,16.6,14.78,2.3
Moroni,8,KM,1598655498,73,-11.7,43.26,23.36,23.36,25.11,1.64
Tuktoyaktuk,20,CA,1598655498,62,69.45,-133.04,11.0,11.0,6.11,5.1
Quang Ngai,60,VN,1598655499,79,15.12,108.8,25.09,25.09,27.83,2.2
Kisangani,94,CD,1598655499,96,0.52,25.2,21.54,21.54,25.17,0.7
Saint Paul Harbor,1,US,1598655460,48,57.79,-152.41,18.0,18.0,14.04,4.6
Airai,30,TL,1598655499,75,-8.93,125.41,16.94,16.94,16.12,2.26
Benguela,95,AO,1598655499,82,-12.58,13.41,19.83,19.83,20.72,1.94
Amazar,100,RU,1598655499,73,53.86,120.88,10.73,10.73,9.09,1.06
Mozarlândia,98,BR,1598655500,19,-14.74,-50.57,26.09,26.09,23.86,0.49
Broome,90,US,1598655500,73,42.25,-75.83,23.33,20.0,21.99,2.6
Gigmoto,100,PH,1598655500,79,13.78,124.39,27.57,27.57,32.11,1.49
Baruun-Urt,39,MN,1598655500,94,46.68,113.28,13.07,13.07,11.17,3.66
Okhotsk,62,RU,1598655438,66,59.38,143.3,12.09,12.09,8.83,3.32
Urengoy,96,RU,1598655500,66,65.97,78.37,14.63,14.63,13.39,1.23
Løding,75,NO,1598655501,81,67.3,14.75,9.0,8.33,5.64,2.6
Honningsvåg,87,NO,1598655501,69,70.98,25.97,7.94,7.94,3.27,4.43
Onega,95,RU,1598655501,71,63.91,38.14,10.3,10.3,6.37,4.08
North Bend,1,US,1598655225,68,43.41,-124.22,27.78,19.0,14.77,13.4
Gurupá,92,BR,1598655501,92,-1.41,-51.64,24.7,24.7,28.62,2.14
Sivaki,100,RU,1598655501,64,52.63,126.75,11.36,11.36,6.69,5.01
Oliva,57,ES,1598655502,7,38.92,-0.12,26.67,25.56,22.36,0.89
Dongsheng,75,CN,1598655502,65,39.82,109.98,19.16,19.16,17.8,3.01
Mitú,96,CO,1598655502,87,1.2,-70.17,24.75,24.75,29.52,0.23
Chokurdakh,100,RU,1598655503,82,70.63,147.92,4.66,4.66,0.25,3.87
Alakurtti,99,RU,1598655504,86,66.97,30.35,7.22,7.22,5.48,0.89
Manaquiri,40,BR,1598655504,78,-3.32,-60.35,30.0,26.0,32.81,1.0
Rudnogorsk,76,RU,1598655504,96,57.26,103.75,11.7,11.7,11.71,0.48
Russell,20,US,1598655505,88,32.35,-85.2,27.0,26.0,29.55,3.88
Santa Maria,29,BR,1598655505,91,-29.68,-53.81,19.53,19.53,20.83,2.15
Pyaozerskiy,86,RU,1598655505,83,65.83,31.17,9.12,9.12,6.81,2.11
Inta,18,RU,1598655505,91,66.03,60.17,5.62,5.62,2.85,2.14
Santa Cruz de Barahona,9,DO,1598655505,80,18.21,-71.1,28.5,28.5,31.97,3.95
Hérouville-Saint-Clair,82,FR,1598655506,93,49.21,-0.31,13.0,12.0,10.15,4.1
Broken Hill,0,AU,1598655446,37,-31.95,141.43,12.0,12.0,7.19,3.6
Yulara,0,AU,1598655506,25,-25.24,130.99,12.0,12.0,6.29,4.1
Orange,20,US,1598655507,54,33.7,-117.77,31.67,25.0,30.14,3.1
Romny,29,UA,1598655507,95,50.75,33.47,13.03,13.03,11.42,3.29
Coquimbo,40,CL,1598655507,66,-29.95,-71.34,13.0,13.0,9.74,3.6
Sørland,75,NO,1598655507,81,67.67,12.69,8.0,8.0,5.39,2.1
Mumford,73,GH,1598655256,92,5.26,-0.76,23.31,23.31,25.03,4.21
Hambantota,100,LK,1598655508,79,6.12,81.12,26.56,26.56,26.49,7.29
Boende,100,CD,1598655508,88,-0.22,20.87,21.59,21.59,24.43,0.89
Saint-Pierre,75,RE,1598655508,73,-21.34,55.48,21.0,13.33,18.51,2.1
Riverton,1,US,1598655508,25,40.52,-111.94,32.78,30.56,28.65,4.1
Hadrut,32,AZ,1598655508,57,39.52,47.03,20.95,20.95,21.29,0.45
Inuvik,20,CA,1598655509,43,68.35,-133.72,13.0,13.0,8.6,3.6
Nové Město nad Metují,100,CZ,1598655509,93,50.34,16.15,17.22,15.56,17.93,0.43
Kismayo,33,SO,1598655509,79,-0.36,42.55,25.3,25.3,24.4,7.55
Ortaköy,0,TR,1598655509,34,38.74,34.04,20.0,20.0,16.1,3.6
Vanimo,100,PG,1598655510,86,-2.67,141.3,26.31,26.31,27.74,6.08
Ban Nahin,95,LA,1598655510,91,18.24,104.21,24.22,24.22,28.63,0.92
Palu,6,ID,1598655510,77,-0.89,119.87,24.95,24.95,28.15,1.15
Otukpo,100,NG,1598655510,99,7.19,8.13,21.62,21.62,24.17,2.66
Nome,90,US,1598655407,82,64.5,-165.41,14.44,13.0,12.67,1.5
Vigeland,100,NO,1598655511,82,58.08,7.3,13.89,13.33,10.72,4.47
Taoudenni,0,ML,1598655511,9,22.68,-3.98,36.96,36.96,31.4,4.87
Valdez,99,EC,1598655511,85,1.25,-78.98,24.98,24.98,26.44,4.84
Mehamn,57,NO,1598655511,72,71.04,27.85,6.26,6.26,1.38,4.48
Sinnamary,39,GF,1598655512,83,5.38,-52.95,26.6,26.6,30.52,2.27
Mount Isa,0,AU,1598655512,26,-20.73,139.5,21.0,21.0,15.14,5.7
Dolores,57,AR,1598655371,96,-36.31,-57.68,11.3,11.3,9.29,3.21
Kargopol',100,RU,1598655506,97,61.51,38.95,11.32,11.32,9.46,3.07
Ariquemes,72,BR,1598655512,43,-9.91,-63.04,30.38,30.38,32.16,0.51
Dospat,0,BG,1598655513,64,41.65,24.17,14.53,14.53,13.59,0.61
Ust-Kuyga,35,RU,1598655514,60,70.02,135.6,8.98,8.98,6.29,1.36
Kiama,0,AU,1598655514,63,-34.68,150.87,14.44,11.67,10.77,2.07
Mujiayingzi,91,CN,1598655514,87,42.12,118.78,16.21,16.21,17.1,0.55
Yamada,38,JP,1598655515,71,39.47,141.95,29.76,29.76,35.06,0.68
Berezanka,0,UA,1598655515,57,46.85,31.39,18.68,18.68,17.69,1.48
Manokwari,100,ID,1598655453,76,-0.87,134.08,26.48,26.48,28.63,3.57
Te Anau,55,NZ,1598655515,76,-45.42,167.72,7.35,7.35,2.92,4.29
Fort Nelson,75,CA,1598655515,82,58.81,-122.7,13.0,13.0,11.58,2.1
Newtownards,42,GB,1598655516,81,54.59,-5.69,12.22,9.0,7.63,4.1
Plérin,48,FR,1598655516,11,48.54,-2.78,12.78,11.11,6.46,3.13
Oranjemund,9,NA,1598655516,85,-28.55,16.43,12.56,12.56,10.02,3.74
Guerrero Negro,0,MX,1598655287,53,27.98,-114.06,29.34,29.34,27.12,7.63
Isiolo,16,KE,1598655516,65,0.35,37.58,19.48,19.48,14.8,7.89
Filingué,60,NE,1598655517,65,14.35,3.32,28.58,28.58,29.17,5.39
Padang,100,ID,1598655517,76,-0.95,100.35,25.04,25.04,27.88,1.57
Yokadouma,100,CM,1598655517,95,3.52,15.05,20.84,20.84,23.84,1.0
Mayo,90,US,1598655517,78,38.89,-76.51,27.78,24.44,26.74,4.6
Husavik,75,IS,1598655421,87,66.04,-17.34,9.0,9.0,7.59,1.0
